sequence,frame,image_path,gt_id_path,pred_path,status,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,gt_pos_ratio
00003,frame001238-1581624199_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001238-1581624199_049.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001238-1581624199_049.png,/home/brownassassin/research-project/rellis-output/00003/frame001238-1581624199_049/pred_traversable.png,no_boxes,0,0,927590,1376410,0.0,0.0,0.0,0.0,0.5974001736111109,0.40259982638888875
00003,frame001240-1581624199_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001240-1581624199_249.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001240-1581624199_249.png,/home/brownassassin/research-project/rellis-output/00003/frame001240-1581624199_249/pred_traversable.png,no_boxes,0,0,877419,1426581,0.0,0.0,0.0,0.0,0.6191757812499997,0.38082421874999983
00003,frame001242-1581624199_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001242-1581624199_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001242-1581624199_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001242-1581624199_449/pred_traversable.png,no_boxes,0,0,844528,1459472,0.0,0.0,0.0,0.0,0.6334513888888886,0.366548611111111
00003,frame001244-1581624199_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001244-1581624199_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001244-1581624199_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001244-1581624199_649/pred_traversable.png,no_boxes,0,0,863211,1440789,0.0,0.0,0.0,0.0,0.6253424479166664,0.3746575520833332
00003,frame001246-1581624199_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001246-1581624199_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001246-1581624199_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001246-1581624199_849/pred_traversable.png,no_boxes,0,0,900081,1403919,0.0,0.0,0.0,0.0,0.6093398437499997,0.39066015624999983
00003,frame001248-1581624200_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001248-1581624200_049.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001248-1581624200_049.png,/home/brownassassin/research-project/rellis-output/00003/frame001248-1581624200_049/pred_traversable.png,no_boxes,0,0,850157,1453843,0.0,0.0,0.0,0.0,0.6310082465277775,0.3689917534722221
00003,frame001250-1581624200_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001250-1581624200_249.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001250-1581624200_249.png,/home/brownassassin/research-project/rellis-output/00003/frame001250-1581624200_249/pred_traversable.png,no_boxes,0,0,965807,1338193,0.0,0.0,0.0,0.0,0.5808129340277776,0.41918706597222205
00003,frame001252-1581624200_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001252-1581624200_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001252-1581624200_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001252-1581624200_449/pred_traversable.png,no_boxes,0,0,985181,1318819,0.0,0.0,0.0,0.0,0.5724040798611109,0.4275959201388887
00003,frame001254-1581624200_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001254-1581624200_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001254-1581624200_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001254-1581624200_649/pred_traversable.png,no_boxes,0,0,1007340,1296660,0.0,0.0,0.0,0.0,0.5627864583333331,0.4372135416666665
00003,frame001256-1581624200_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001256-1581624200_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001256-1581624200_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001256-1581624200_849/pred_traversable.png,no_boxes,0,0,883353,1420647,0.0,0.0,0.0,0.0,0.6166002604166664,0.3833997395833332
00003,frame001258-1581624201_050,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001258-1581624201_050.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001258-1581624201_050.png,/home/brownassassin/research-project/rellis-output/00003/frame001258-1581624201_050/pred_traversable.png,no_boxes,0,0,815098,1488902,0.0,0.0,0.0,0.0,0.6462248263888887,0.353775173611111
00003,frame001260-1581624201_250,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001260-1581624201_250.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001260-1581624201_250.png,/home/brownassassin/research-project/rellis-output/00003/frame001260-1581624201_250/pred_traversable.png,no_boxes,0,0,692147,1611853,0.0,0.0,0.0,0.0,0.6995889756944441,0.30041102430555544
00003,frame001262-1581624201_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001262-1581624201_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001262-1581624201_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001262-1581624201_449/pred_traversable.png,no_boxes,0,0,752663,1551337,0.0,0.0,0.0,0.0,0.6733233506944442,0.3266766493055554
00003,frame001264-1581624201_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001264-1581624201_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001264-1581624201_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001264-1581624201_649/pred_traversable.png,no_boxes,0,0,669564,1634436,0.0,0.0,0.0,0.0,0.7093906249999997,0.2906093749999999
00003,frame001266-1581624201_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001266-1581624201_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001266-1581624201_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001266-1581624201_849/pred_traversable.png,no_boxes,0,0,751956,1552044,0.0,0.0,0.0,0.0,0.6736302083333331,0.3263697916666665
00003,frame001268-1581624202_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001268-1581624202_049.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001268-1581624202_049.png,/home/brownassassin/research-project/rellis-output/00003/frame001268-1581624202_049/pred_traversable.png,no_boxes,0,0,817002,1486998,0.0,0.0,0.0,0.0,0.6453984374999997,0.35460156249999986
